device,router,connect_at,disconnect_at,lat,lng
7,Yurt_B10_KatG_Ap4_85:0e,2016-05-31 00:06:00,2016-05-31 00:26:00,40.8908833,29.3828546
54,Kut_Kat1_Sol2_a4:a3,2016-05-31 00:06:00,2016-05-31 01:26:00,40.889916,29.3773067
72,Yurt_Cafe1_35:f7,2016-05-31 00:06:00,2016-05-31 00:26:00,40.8917931,29.3813097
11211,Yurt_B11_Kat3_AP2_55:a2,2016-05-31 00:06:00,2016-05-31 01:26:00,40.8906273,29.3827336
225,Yurt_B3_Kat2_AP7_86:0c,2016-05-31 00:06:00,2016-05-31 02:37:00,40.8911114,29.3820051
201,Yurt_A1_T_3030_61:0a,2016-05-31 00:06:00,2016-05-31 00:36:00,40.8920025,29.3817006
258,Yurt_B2_005_07:5e,2016-05-31 00:06:00,2016-05-31 00:26:00,40.8926537,29.3802157
209,Yurt_A6_3028_64:70,2016-05-31 00:06:00,2016-05-31 00:36:00,40.8926733,29.3813851
295,Yurt_B2_Kat1_AP5_84:f8,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8924135,29.3809123
341,Yurt_B2_215_74:46,2016-05-31 00:06:00,2016-05-31 00:26:00,40.8924525,29.380652
9156,Yurt_G_G03_0a:a4,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8914566,29.3836555
359,Yurt_B11_KatG_AP3_64:b8,2016-05-31 00:06:00,2016-05-31 00:56:00,40.8904419,29.3828895
378,Yurt_G_G07_08:e0,2016-05-31 00:06:00,2016-05-31 00:56:00,40.8913645,29.3835995
384,Yurt_A4_107_64:0a,2016-05-31 00:06:00,2016-05-31 00:36:00,40.8927206,29.3826588
311,Yurt_G_G05_09:fa,2016-05-31 00:06:00,2016-05-31 00:46:00,40.8917692,29.3831792
405,Yurt_D1B_219_64:5a,2016-05-31 00:06:00,2016-05-31 00:36:00,40.8918829,29.3810603
450,Yurt_B10_Kat3_AP1_64:30,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8910154,29.383399
457,Piazza_Cafe_7b:f7,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8918525,29.3814655
486,Yurt_A5_309_64:7c,2016-05-31 00:06:00,2016-05-31 00:36:00,40.892745,29.3824068
551,Piazza_Cafe_7b:f7,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8918525,29.3814655
549,Yurt_B8_000_64:c0,2016-05-31 00:06:00,2016-05-31 01:06:00,40.893834,29.3808033
516,Yurt_B11_Kat3_AP4_85:3c,2016-05-31 00:06:00,2016-05-31 00:26:00,40.8908463,29.3830954
603,Yurt_B3_Kat1_AP2_70:7c,2016-05-31 00:06:00,2016-05-31 02:07:00,40.8913527,29.3815534
10633,Yurt_B10_KatG_AP1_63:a0,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8909128,29.3831656
667,Yurt_A4_308_5b:04,2016-05-31 00:06:00,2016-05-31 02:07:00,40.8926558,29.3827778
710,Main_Gate_e4:b0,2016-05-31 00:06:00,2016-05-31 08:10:00,40.8897876,29.3739547
681,ADM_G039_a9:c0,2016-05-31 00:06:00,2016-05-31 00:36:00,40.8916288,29.3768196
782,BM_Kapi_onu_d5:36,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8902482,29.3776761
808,Yurt_B10_Kat3_AP4_85:0c,2016-05-31 00:06:00,2016-05-31 00:46:00,40.8909136,29.3830092
845,Yurt_A3_S_203_47:d8,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8920801,29.3829151
17653,Yurt_A2_S_209_f8:43,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8923583,29.3824532
886,Yurt_A2_S_204_f8:39,2016-05-31 00:06:00,2016-05-31 00:46:00,40.8922592,29.3821769
853,Yurt_A5_2028_63:d6,2016-05-31 00:06:00,2016-05-31 00:36:00,40.8926634,29.3819865
1069,CP_Marangozhane_7b:ca,2016-05-31 00:06:00,2016-05-31 00:46:00,40.8880871,29.3807611
1128,Yurt_A3_F_1021_5a:88,2016-05-31 00:06:00,2016-05-31 00:46:00,40.892241,29.3830936
1142,Yurt_B8_109_62:d2,2016-05-31 00:06:00,2016-05-31 08:41:00,40.8937367,29.3808489
10346,Yurt_F_G02_01:4c,2016-05-31 00:06:00,2016-05-31 00:36:00,40.891399,29.3835996
16132,FMAN_1096__c4:0d,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8923302,29.3792071
1437,Fass_Otopark_7b:d0,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8888375,29.3777505
1412,Yurt_A2_S_2020_5b:54,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8922327,29.38282
1445,CP_Gursel_22:2b,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8889454,29.3781345
1476,Yurt_A1_G_Mutfak_f8:5d,2016-05-31 00:06:00,2016-05-31 00:36:00,40.8921986,29.3817333
9934,Yurt_B10_Kat3_AP2_61:bc,2016-05-31 00:06:00,2016-05-31 00:26:00,40.8909511,29.3828069
1501,Yurt_A1_G_027_62:0a,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8918919,29.3818617
1509,Yurt_B7_Kat1_AP2_62:e4,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8930939,29.3820278
1518,Yurt_A5_303_63:a6,2016-05-31 00:06:00,2016-05-31 00:46:00,40.8929776,29.3820221
1484,UC_1036_a9:e8,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8916385,29.3798967
20153,FMAN_242_oda,2016-05-31 00:06:00,2016-05-31 00:36:00,40.8918819,29.3785144
1568,Main_Gate_e4:b0,2016-05-31 00:06:00,2016-05-31 00:26:00,40.8897876,29.3739547
1585,Yurt_B7_Kat1_AP5_62:1e,2016-05-31 00:06:00,2016-05-31 00:26:00,40.8931705,29.3818756
1609,Yurt_A5_303_63:a6,2016-05-31 00:06:00,2016-05-31 02:47:00,40.8929776,29.3820221
1534,Yurt_B10_KatG_AP2_63:56,2016-05-31 00:06:00,2016-05-31 02:07:00,40.8911396,29.3831529
1627,FENS_Teras_Outway_ba:1a,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8913565,29.3789192
11189,Yurt_B10_Kat2_AP3_64:10,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8909828,29.3829247
1729,Yurt_B2_211_60:80,2016-05-31 00:06:00,2016-05-31 00:26:00,40.8925599,29.380639
12443,Yurt_B8_309_64:aa,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8935179,29.3810673
1667,Kut_Giris_Masa4_a9:cd,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8901457,29.3778599
1688,UC_Starbucks_d5:3d,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8917016,29.3801932
1636,Yurt_B10_Kat2_AP2_71:98,2016-05-31 00:06:00,2016-05-31 00:36:00,40.8912008,29.3831087
16135,BM_Kapi_onu_d5:36,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8902482,29.3776761
1723,Main_Gate_e4:b0,2016-05-31 00:06:00,2016-05-31 00:26:00,40.8897876,29.3739547
1860,Yurt_A2_G_005_47:84,2016-05-31 00:06:00,2016-05-31 15:37:00,40.8922668,29.3822131
12875,Yurt_A4_303_61:ea,2016-05-31 00:06:00,2016-05-31 12:34:00,40.8928166,29.3825953
19041,BM_Kapi_onu_d5:36,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8902482,29.3776761
1979,Yurt_A2_G_005_47:84,2016-05-31 00:06:00,2016-05-31 00:36:00,40.8922668,29.3822131
2024,Yurt_A6_208_74:1a,2016-05-31 00:06:00,2016-05-31 00:46:00,40.8925294,29.3819535
2088,Yurt_A5_309_64:7c,2016-05-31 00:06:00,2016-05-31 00:26:00,40.892745,29.3824068
16462,FMAN_1096__c4:0d,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8923302,29.3792071
2138,Yurt_A6_2028_63:f4,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8927356,29.3815402
2141,Yurt_A6_G034_ff:90,2016-05-31 00:06:00,2016-05-31 00:16:00,40.892812,29.3816076
2147,Yurt_A3_S_203_47:d8,2016-05-31 00:06:00,2016-05-31 01:16:00,40.8920801,29.3829151
2197,Yurt_B3_Kat2_AP7_86:0c,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8911114,29.3820051
2163,Yurt_Cafe1_35:f7,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8917931,29.3813097
11835,Yurt_B10_Kat2_AP3_64:10,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8909828,29.3829247
13944,Yurt_G_G03_0a:6a,2016-05-31 00:06:00,2016-05-31 00:26:00,40.891324,29.3835701
2289,Yurt_A6_308_73:4e,2016-05-31 00:06:00,2016-05-31 00:36:00,40.8924527,29.3816769
2292,Yurt_A4_1021_5c:64,2016-05-31 00:06:00,2016-05-31 00:46:00,40.8928701,29.3827405
2359,FASS_Outway_3d:3e,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8907273,29.3777789
6954,Yurt_G_G09_fc:01,2016-05-31 00:06:00,2016-05-31 00:26:00,40.891114,29.3834486
2304,Yurt_B3_Kat1_AP7_85:10,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8912417,29.3818043
2428,Yurt_B10_Kat2_AP3_64:10,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8909828,29.3829247
